			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
yy	yy	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	yu		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	uy		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	uu		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iy		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iu		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eu		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ui		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ue		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ye	ye	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	yE		0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
	ue		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	uE		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iE		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eE		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ui		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
yi	yi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	yI		0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
	ui		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	uI		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	ye		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iI		0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
	eI		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
	ue		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
yo	yo	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	yO		0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	uo		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	uO		1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	y_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	u_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	yi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	io		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eo		0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iO		0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	ui		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ue		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
eA	eA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ea		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	EA		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	Ea		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	E_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	ei		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iA		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ia		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	Ei		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	Ee		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ey	ey	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	eu		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	Ey		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
